,created_on,property_type,place_name,price_aprox_usd,surface_total_in_m2,rooms,year,popularity,USDMEXVal
12,2013-09-19,1.0,Kanasín,26355.66,495.0,1.0,2013,3,13.055250549316408
13,2013-09-19,1.0,Chichi Suárez,72478.09,260.0,2.0,2013,1,13.055250549316408
14,2013-09-19,1.0,Chichi Suárez,72478.09,260.0,2.0,2013,3,13.055250549316408
15,2013-09-19,1.0,Ejido de Chuburna,131119.45,494.0,3.0,2013,2,13.055250549316408
16,2013-09-19,1.0,Chichi Suárez,69183.63,600.0,2.0,2013,1,13.055250549316408
17,2013-09-19,1.0,Yucatán,184489.69,423.0,3.0,2013,2,13.055250549316408
18,2013-09-19,1.0,Yucatán,56664.68,360.0,1.0,2013,3,13.055250549316408
19,2013-09-19,1.0,Yucatán,59300.25,280.0,1.0,2013,2,13.055250549316408
20,2013-09-19,1.0,Yucatán,54688.01,160.0,2.0,2013,3,13.055250549316408
21,2013-09-19,1.0,Yucatán,92244.84,270.0,3.0,2013,3,13.055250549316408
22,2013-09-19,1.0,Yucatán,52711.33,160.0,2.0,2013,3,13.055250549316408
23,2013-09-19,1.0,Yucatán,62594.71,300.0,3.0,2013,3,13.055250549316408
24,2013-09-19,1.0,Yucatán,62594.71,400.0,2.0,2013,3,13.055250549316408
25,2013-09-19,1.0,Yucatán,32944.58,200.0,3.0,2013,2,13.055250549316408
45,2014-02-14,1.0,Yucatán,46552.91,360.0,1.0,2014,3,13.292763960988898
46,2014-02-14,1.0,Yucatán,151567.64,423.0,3.0,2014,2,13.292763960988898
47,2014-02-14,1.0,Yucatán,97436.34,205.0,4.0,2014,3,13.292763960988898
48,2014-02-14,1.0,Yucatán,19487.26,400.0,4.0,2014,3,13.292763960988898
49,2014-02-14,1.0,Yucatán,37891.91,135.0,2.0,2014,3,13.292763960988898
50,2014-02-14,1.0,Morelia,53048.67,96.0,3.0,2014,3,13.292763960988898
51,2014-02-14,1.0,Puerto Vallarta,62250.99,119.0,3.0,2014,3,13.292763960988898
52,2014-02-14,1.0,Nayarit,36932.27,91.0,3.0,2014,3,13.292763960988898
53,2014-02-14,1.0,Bucerías,116382.29,138.0,4.0,2014,3,13.292763960988898
54,2014-02-14,1.0,Bucerías,153000.0,128.0,4.0,2014,2,13.292763960988898
55,2014-02-14,1.0,Bucerías,83903.51,117.0,4.0,2014,3,13.292763960988898
56,2014-02-14,1.0,Bucerías,101225.53,106.0,3.0,2014,3,13.292763960988898
57,2014-02-14,1.0,Bucerías,90399.27,106.0,3.0,2014,3,13.292763960988898
58,2014-02-14,1.0,Bucerías,106097.34,165.0,4.0,2014,3,13.292763960988898
59,2014-02-14,1.0,Puerto Vallarta,53048.67,220.0,3.0,2014,3,13.292763960988898
62,2014-02-14,1.0,Santa María Huatulco,162393.9,350.0,4.0,2014,1,13.292763960988898
67,2014-02-14,2.0,Santa María Huatulco,35185.34,60.0,2.0,2014,1,13.292763960988898
74,2014-02-14,2.0,Cuauhtémoc,146154.52,61.0,3.0,2014,3,13.292763960988898
75,2014-02-14,2.0,Cuauhtémoc,343571.38,176.0,5.0,2014,3,13.292763960988898
76,2014-02-14,2.0,Álvaro Obregón,371882.03,180.0,5.0,2014,3,13.292763960988898
77,2014-02-14,2.0,Álvaro Obregón,351853.44,300.0,9.0,2014,3,13.292763960988898
78,2014-06-02,2.0,Aguascalientes,66828.71,123.0,1.0,2014,1,12.993162609281994
90,2014-06-11,2.0,Cuernavaca,62250.99,100.0,1.0,2014,2,12.993162609281994
96,2014-06-11,2.0,Estado de México,16239.39,58.0,1.0,2014,3,12.993162609281994
98,2014-06-11,2.0,Miguel Hidalgo,36267.97,65.0,4.0,2014,3,12.993162609281994
106,2014-06-11,2.0,Gustavo A. Madero,75783.82,82.0,1.0,2014,3,12.993162609281994
110,2014-06-11,2.0,Benito Juárez,92023.21,70.0,1.0,2014,3,12.993162609281994
115,2014-06-11,2.0,Morelos,20028.58,62.0,3.0,2014,1,12.993162609281994
117,2014-06-11,2.0,Cuernavaca,52507.36,60.0,3.0,2014,1,12.993162609281994
119,2014-06-11,2.0,Pedregal de las Fuentes,73077.25,153.0,3.0,2014,1,12.993162609281994
126,2014-06-11,2.0,Cuernavaca,70370.69,108.0,3.0,2014,1,12.993162609281994
131,2014-06-11,2.0,Cuernavaca,86610.08,110.0,3.0,2014,2,12.993162609281994
136,2014-06-11,2.0,Cuernavaca,105556.03,117.0,3.0,2014,1,12.993162609281994
148,2014-06-11,2.0,Cuernavaca,123419.36,170.0,3.0,2014,1,12.993162609281994
160,2014-06-11,2.0,Cuernavaca,27065.65,65.0,1.0,2014,2,12.993162609281994
165,2014-06-11,2.0,Benito Juárez,221938.33,125.0,5.0,2014,3,12.993162609281994
166,2014-06-11,2.0,Benito Juárez,207864.19,120.0,5.0,2014,3,12.993162609281994
171,2014-06-12,2.0,Benito Juárez,119088.86,72.0,5.0,2014,3,12.993162609281994
172,2014-06-12,2.0,Benito Juárez,162393.9,97.0,5.0,2014,3,12.993162609281994
181,2014-06-12,2.0,Benito Juárez,107721.28,128.0,6.0,2014,3,12.993162609281994
183,2014-06-12,2.0,Temixco,36538.62,76.0,4.0,2014,1,12.993162609281994
186,2014-06-12,2.0,Cuauhtémoc,151567.64,180.0,6.0,2014,3,12.993162609281994
187,2014-06-12,2.0,Cuauhtémoc,35185.34,72.0,1.0,2014,3,12.993162609281994
189,2014-06-12,2.0,Tlalpan,59544.43,70.0,5.0,2014,3,12.993162609281994
191,2014-06-12,2.0,Miguel Hidalgo,40057.16,54.0,6.0,2014,3,12.993162609281994
197,2014-06-12,2.0,Gustavo A. Madero,89316.64,82.0,4.0,2014,3,12.993162609281994
208,2014-06-12,2.0,Álvaro Obregón,81196.95,86.0,3.0,2014,3,12.993162609281994
226,2014-06-13,2.0,Cuernavaca,175926.72,240.0,3.0,2014,2,12.993162609281994
256,2014-06-14,2.0,Azcapotzalco,44604.19,49.0,1.0,2014,3,12.993162609281994
286,2014-06-15,2.0,Cuernavaca,311254.97,395.0,5.0,2014,2,12.993162609281994
303,2014-06-16,2.0,Iztapalapa,27606.96,48.0,4.0,2014,3,12.993162609281994
309,2014-06-17,2.0,Estado de México,21652.52,48.0,1.0,2014,3,12.993162609281994
310,2014-06-17,2.0,Estado de México,67664.12,95.0,1.0,2014,3,12.993162609281994
320,2014-06-17,2.0,Miguel Hidalgo,227351.45,176.0,1.0,2014,3,12.993162609281994
324,2014-06-17,2.0,Estado de México,17863.32,47.0,1.0,2014,3,12.993162609281994
329,2014-06-17,2.0,Estado de México,25983.02,53.0,1.0,2014,3,12.993162609281994
334,2014-06-17,2.0,Puebla,41464.57,87.0,7.0,2014,3,12.993162609281994
335,2014-06-17,2.0,Cuernavaca,145071.88,270.0,3.0,2014,3,12.993162609281994
349,2014-06-18,2.0,Cuernavaca,350000.0,235.0,3.0,2014,2,12.993162609281994
360,2014-06-18,2.0,Benito Juárez,121470.63,68.0,4.0,2014,3,12.993162609281994
367,2014-06-19,2.0,Mazatlán,260000.0,160.0,1.0,2014,3,12.993162609281994
376,2014-06-19,2.0,Acapulco de Juárez,54131.3,150.0,3.0,2014,1,12.993162609281994
380,2014-06-20,2.0,Benito Juárez,107721.28,150.0,6.0,2014,3,12.993162609281994
381,2014-06-20,2.0,Miguel Hidalgo,54131.3,63.0,6.0,2014,3,12.993162609281994
382,2014-06-20,2.0,Estado de México,59544.43,78.0,6.0,2014,3,12.993162609281994
383,2014-06-20,2.0,Cuauhtémoc,27065.65,45.0,4.0,2014,3,12.993162609281994
384,2014-06-20,2.0,Miguel Hidalgo,36322.1,77.0,5.0,2014,3,12.993162609281994
385,2014-06-20,2.0,Gustavo A. Madero,15860.47,44.0,4.0,2014,3,12.993162609281994
391,2014-06-20,2.0,Venustiano Carranza,72211.15,67.0,1.0,2014,3,12.993162609281994
393,2014-06-20,2.0,Estado de México,21652.52,57.0,5.0,2014,3,12.993162609281994
418,2014-11-14,1.0,Monterrey,724175.7,490.0,3.0,2014,1,13.614778306749132
431,2014-12-07,1.0,Monterrey,189671.34,170.0,3.0,2014,1,14.520475841703869
1036,2015-04-03,1.0,Veracruz,105372.96,300.0,7.0,2015,1,15.194341486150568
1037,2015-04-03,1.0,Veracruz,184402.69,179.0,4.0,2015,1,15.194341486150568
1038,2015-04-03,1.0,Veracruz,94835.67,320.0,5.0,2015,1,15.194341486150568
1039,2015-04-03,1.0,Veracruz,131716.2,300.0,3.0,2015,1,15.194341486150568
1040,2015-04-03,1.0,Veracruz,105372.96,1400.0,4.0,2015,1,15.194341486150568
1041,2015-04-03,1.0,Veracruz,79029.72,99.0,3.0,2015,1,15.194341486150568
1042,2015-04-03,1.0,Veracruz,84298.37,340.0,2.0,2015,1,15.194341486150568
1043,2015-04-03,1.0,Veracruz,81664.04,155.0,3.0,2015,1,15.194341486150568
1044,2015-04-03,1.0,Veracruz,79029.72,22500.0,2.0,2015,1,15.194341486150568
1045,2015-04-03,1.0,Veracruz,25816.37,200.0,1.0,2015,1,15.194341486150568
1046,2015-04-03,1.0,Veracruz,115910.26,200.0,4.0,2015,1,15.194341486150568
1047,2015-04-03,1.0,Veracruz,86932.69,125.0,3.0,2015,1,15.194341486150568
1065,2015-04-06,1.0,Bosque de las Lomas,1685967.5,835.0,8.0,2015,3,15.194341486150568
1211,2015-04-13,1.0,Veracruz,97469.99,625.0,3.0,2015,1,15.194341486150568
1212,2015-04-13,1.0,Veracruz,105372.96,104.0,3.0,2015,1,15.194341486150568
1513,2015-04-26,1.0,Veracruz,152685.44,720.0,6.0,2015,1,15.194341486150568
1571,2015-04-29,2.0,Querétaro,67807.5,119.0,2.0,2015,1,15.194341486150568
1572,2015-04-29,2.0,Querétaro,87459.56,158.0,2.0,2015,1,15.194341486150568
1613,2015-05-01,1.0,Querétaro,200208.62,243.0,4.0,2015,1,15.279640197753906
1652,2015-05-04,1.0,Veracruz,84298.37,190.0,2.0,2015,1,15.279640197753906
1907,2015-05-12,1.0,Veracruz,184402.69,648.0,23.0,2015,1,15.279640197753906
2341,2015-06-07,1.0,Veracruz,28977.56,400.0,2.0,2015,1,15.479211980646308
2363,2015-06-09,1.0,Querétaro,100104.31,200.0,4.0,2015,1,15.479211980646308
2364,2015-06-09,1.0,Veracruz,126447.56,495.0,4.0,2015,1,15.479211980646308
2365,2015-06-09,1.0,Veracruz,57955.13,99.0,3.0,2015,1,15.479211980646308
2377,2015-06-10,1.0,Veracruz,242357.81,300.0,3.0,2015,1,15.479211980646308
2406,2015-06-12,1.0,Veracruz,92201.34,338.0,3.0,2015,1,15.479211980646308
2442,2015-06-16,1.0,Veracruz,47417.83,3808.0,3.0,2015,1,15.479211980646308
2460,2015-06-18,1.0,Veracruz,44783.51,126.0,1.0,2015,1,15.479211980646308
2461,2015-06-18,2.0,Veracruz,21601.45,92.0,2.0,2015,1,15.479211980646308
2462,2015-06-18,1.0,Veracruz,395148.62,1260.0,4.0,2015,1,15.479211980646308
2547,2015-07-04,1.0,Puerta Grande,58745.42,92.0,4.0,2015,3,15.951500632546164
2548,2015-07-04,2.0,San Pablo,26343.24,48.0,2.0,2015,3,15.951500632546164
2561,2015-07-08,1.0,Veracruz,158059.45,330.0,3.0,2015,1,15.951500632546164
2563,2015-07-09,2.0,Coyoacán,53476.78,58.0,2.0,2015,3,15.951500632546164
2656,2015-07-17,1.0,Veracruz,105372.96,960.0,2.0,2015,1,15.951500632546164
2736,2015-07-23,1.0,Veracruz,131716.2,200.0,4.0,2015,1,15.951500632546164
2737,2015-07-23,1.0,Veracruz,131716.2,226.0,3.0,2015,1,15.951500632546164
2738,2015-07-23,1.0,Veracruz,105372.96,192.0,4.0,2015,3,15.951500632546164
2739,2015-07-23,1.0,Veracruz,790297.25,1512.0,4.0,2015,1,15.951500632546164
2749,2015-07-24,1.0,Veracruz,73761.07,162.0,6.0,2015,1,15.951500632546164
2836,2015-08-01,1.0,Cuauhtémoc,182084.48,200.0,3.0,2015,3,16.534022739955358
2837,2015-08-01,2.0,Santa Martha Acatitla Norte,36090.24,56.0,2.0,2015,3,16.534022739955358
2838,2015-08-01,1.0,San Juan de Aragón,108376.09,127.0,3.0,2015,3,16.534022739955358
2839,2015-08-01,1.0,Venustiano Carranza,66384.96,117.0,2.0,2015,3,16.534022739955358
2840,2015-08-01,2.0,El Manto,28292.64,13.0,2.0,2015,3,16.534022739955358
2841,2015-08-01,2.0,Aculco,35879.49,17.0,2.0,2015,3,16.534022739955358
2842,2015-08-01,1.0,Granjas Estrella,112959.82,138.0,4.0,2015,3,16.534022739955358
2843,2015-08-01,1.0,Constitución de La República,109956.69,221.0,3.0,2015,3,16.534022739955358
2846,2015-08-01,2.0,Gustavo A. Madero,36037.55,15.0,2.0,2015,3,16.534022739955358
2847,2015-08-01,2.0,Santa Fe IMSS,43202.91,96.0,2.0,2015,3,16.534022739955358
2848,2015-08-01,1.0,Providencia,169387.05,227.0,2.0,2015,3,16.534022739955358
2849,2015-08-01,2.0,Banjidal,54267.07,24.0,2.0,2015,3,16.534022739955358
2850,2015-08-01,2.0,Santiago Atepetlac,32612.93,58.0,3.0,2015,3,16.534022739955358
2888,2015-08-03,1.0,Mártires de Tlatelolco,64224.82,120.0,4.0,2015,3,16.534022739955358
3074,2015-08-14,1.0,Juriquilla,258163.77,287.0,4.0,2015,1,16.534022739955358
3075,2015-08-14,1.0,Veracruz,42149.18,310.0,2.0,2015,1,16.534022739955358
3091,2015-08-17,1.0,Veracruz,144887.83,675.0,8.0,2015,1,16.534022739955358
3099,2015-08-18,1.0,Querétaro,790297.25,2200.0,4.0,2015,1,16.534022739955358
19748,2015-09-01,2.0,Atizapán de Zaragoza,54267.07,76.0,3.0,2015,3,16.838692801339285
19749,2015-09-01,1.0,Jardines del Alba,67702.13,94.0,3.0,2015,3,16.838692801339285
19750,2015-09-01,2.0,Presidente Madero,35616.06,27.0,2.0,2015,3,16.838692801339285
19751,2015-09-01,1.0,Cuautitlán Izcalli,32929.05,90.0,2.0,2015,2,16.838692801339285
19752,2015-09-01,2.0,Cuautitlán Izcalli,26817.42,65.0,2.0,2015,3,16.838692801339285
19753,2015-09-01,1.0,Atlanta 1a Sección,75341.67,135.0,3.0,2015,3,16.838692801339285
19754,2015-09-01,1.0,Venustiano Carranza,89567.02,182.0,4.0,2015,3,16.838692801339285
19755,2015-09-01,1.0,Santiago Tepalcapa,52791.85,90.0,3.0,2015,3,16.838692801339285
19756,2015-09-01,1.0,San Juan Tepepan,120125.18,194.0,3.0,2015,3,16.838692801339285
19757,2015-09-01,1.0,Atizapán de Zaragoza,89040.15,94.0,3.0,2015,3,16.838692801339285
19759,2015-09-01,1.0,Cumbria,90936.87,126.0,3.0,2015,3,16.838692801339285
19760,2015-09-01,1.0,Metepec,132506.5,181.0,3.0,2015,2,16.838692801339285
19761,2015-09-01,1.0,Granjas Lomas de Guadalupe,75341.67,161.0,3.0,2015,3,16.838692801339285
20098,2015-09-06,1.0,Veracruz,42149.18,67.0,3.0,2015,1,16.838692801339285
20273,2015-09-11,1.0,Corregidora,136984.84,528.0,3.0,2015,1,16.838692801339285
20584,2015-09-18,1.0,Parques de la Herradura,683870.56,250.0,3.0,2015,3,16.838692801339285
20585,2015-09-18,1.0,Parques de la Herradura,683870.56,250.0,3.0,2015,3,16.838692801339285
20587,2015-09-18,1.0,Veracruz,52686.48,235.0,3.0,2015,1,16.838692801339285
20603,2015-09-20,1.0,Veracruz,81664.04,56.0,3.0,2015,1,16.838692801339285
20616,2015-09-22,1.0,Guadalupe,243590.84,399.0,4.0,2015,1,16.838692801339285
20646,2015-09-22,2.0,Veracruz,52159.61,120.0,3.0,2015,1,16.838692801339285
20655,2015-09-23,1.0,Querétaro,91674.48,105.0,3.0,2015,1,16.838692801339285
20656,2015-09-23,2.0,Querétaro,143834.1,119.0,2.0,2015,1,16.838692801339285
20657,2015-09-23,1.0,Querétaro,1317162.1,6910.0,3.0,2015,1,16.838692801339285
20658,2015-09-23,1.0,Querétaro,210745.94,1157.0,3.0,2015,1,16.838692801339285
20661,2015-09-23,1.0,Venustiano Carranza,158059.45,194.0,3.0,2015,3,16.838692801339285
20662,2015-09-23,1.0,Veracruz,26343.24,300.0,2.0,2015,1,16.838692801339285
20671,2015-09-30,1.0,Juriquilla,77975.99,127.0,3.0,2015,1,16.838692801339285
20672,2015-09-30,1.0,Juriquilla,87564.93,136.0,3.0,2015,1,16.838692801339285
20675,2015-09-30,2.0,Juriquilla,50157.53,63.0,2.0,2015,1,16.838692801339285
20676,2015-09-30,2.0,Juriquilla,57955.13,79.0,3.0,2015,1,16.838692801339285
20677,2015-09-30,1.0,Tlalpan,51632.75,63.0,2.0,2015,3,16.838692801339285
20679,2015-09-30,2.0,Tacuba,40094.41,54.0,2.0,2015,3,16.838692801339285
20680,2015-09-30,1.0,Lomas Estrella,112485.64,160.0,4.0,2015,3,16.838692801339285
20735,2015-09-30,1.0,Cuajimalpa de Morelos,215487.7,338.0,2.0,2015,3,16.838692801339285
20819,2015-10-06,1.0,Veracruz,184402.69,270.0,3.0,2015,1,16.569690522693453
20820,2015-10-06,2.0,Atizapán de Zaragoza,63750.64,77.0,2.0,2015,3,16.569690522693453
20821,2015-10-06,2.0,Atizapán de Zaragoza,86932.69,100.0,2.0,2015,3,16.569690522693453
20822,2015-10-06,2.0,Atizapán de Zaragoza,33192.48,74.0,2.0,2015,3,16.569690522693453
20823,2015-10-07,2.0,Distrito Federal,413563.12,183.0,4.0,2015,3,16.569690522693453
20824,2015-10-07,2.0,Distrito Federal,498007.97,221.0,4.0,2015,3,16.569690522693453
20825,2015-10-09,1.0,Veracruz,105372.96,1500.0,2.0,2015,1,16.569690522693453
20827,2015-10-09,1.0,Atizapán de Zaragoza,87986.42,140.0,3.0,2015,3,16.569690522693453
20828,2015-10-09,2.0,Cuautitlán Izcalli,60589.45,76.0,3.0,2015,3,16.569690522693453
20829,2015-10-09,1.0,Cuautitlán Izcalli,27923.83,66.0,2.0,2015,3,16.569690522693453
20830,2015-10-09,1.0,Cuautitlán Izcalli,48155.44,102.0,2.0,2015,2,16.569690522693453
20832,2015-10-13,2.0,Boca Ratón,499000.0,111.0,6.0,2015,1,16.569690522693453
21189,2015-10-22,2.0,Lomas Altas,4750000.0,1770.0,4.0,2015,3,16.569690522693453
21190,2015-10-22,2.0,Lomas Altas,3400000.0,815.0,3.0,2015,3,16.569690522693453
21246,2015-10-26,1.0,Veracruz,84298.37,256.0,6.0,2015,1,16.569690522693453
21249,2015-10-27,1.0,Veracruz,342462.12,850.0,5.0,2015,1,16.569690522693453
23900,2015-10-30,1.0,Veracruz,89567.02,228.0,4.0,2015,1,16.569690522693453
24150,2015-11-01,1.0,Veracruz,144887.83,253.0,6.0,2015,1,16.630579898231908
24519,2015-11-06,1.0,Querétaro,113275.94,130.0,3.0,2015,1,16.630579898231908
24520,2015-11-06,1.0,Querétaro,123286.37,155.0,3.0,2015,1,16.630579898231908
24521,2015-11-06,1.0,El Refugio,134350.53,250.0,3.0,2015,1,16.630579898231908
24522,2015-11-06,1.0,El Refugio,110114.75,164.0,3.0,2015,1,16.630579898231908
24772,2015-11-09,1.0,Chihuahua,351853.44,427.0,4.0,2015,1,16.630579898231908
24774,2015-11-09,1.0,San Pedro Garza García,4200000.0,2800.0,4.0,2015,1,16.630579898231908
24810,2015-11-10,1.0,Monterrey,157005.72,144.0,3.0,2015,1,16.630579898231908
24811,2015-11-10,1.0,Querétaro,72707.34,105.0,6.0,2015,1,16.630579898231908
25157,2015-11-13,1.0,Veracruz,47417.83,186.0,2.0,2015,1,16.630579898231908
25449,2015-11-18,1.0,Veracruz,50052.15,240.0,3.0,2015,1,16.630579898231908
25450,2015-11-18,1.0,Miguel Hidalgo,3600000.0,1500.0,3.0,2015,3,16.630579898231908
25561,2015-11-20,1.0,Veracruz,410954.56,600.0,4.0,2015,1,16.630579898231908
25614,2015-11-20,2.0,Santa Fe Cuajimalpa,429394.84,190.0,3.0,2015,3,16.630579898231908
25790,2015-11-22,1.0,Veracruz,237089.17,500.0,6.0,2015,1,16.630579898231908
25856,2015-11-24,1.0,Mexicali,27660.4,120.0,2.0,2015,1,16.630579898231908
25857,2015-11-24,1.0,Misión del Valle,26079.8,120.0,2.0,2015,1,16.630579898231908
25858,2015-11-24,1.0,Hacienda de Los Portales,13698.48,124.0,2.0,2015,1,16.630579898231908
25859,2015-11-24,1.0,Villa Residencial del Prado,17649.97,120.0,2.0,2015,1,16.630579898231908
25860,2015-11-24,1.0,Villa Residencial del Prado,14752.21,120.0,2.0,2015,1,16.630579898231908
25861,2015-11-24,1.0,Quinta del Rey,16596.24,126.0,2.0,2015,1,16.630579898231908
25862,2015-11-24,1.0,Villa Residencial del Prado,14752.21,120.0,1.0,2015,1,16.630579898231908
25871,2015-11-25,2.0,Cancún,398000.0,310.0,3.0,2015,3,16.630579898231908
25872,2015-11-25,2.0,Cancún,86610.08,250.0,18.0,2015,3,16.630579898231908
25874,2015-11-25,2.0,Playa del Carmen,336800.0,209.0,2.0,2015,3,16.630579898231908
25875,2015-11-25,1.0,Cancún,281482.75,450.0,4.0,2015,3,16.630579898231908
25876,2015-11-25,1.0,Cancún,2500000.0,650.0,4.0,2015,3,16.630579898231908
25877,2015-11-25,2.0,Playa del Carmen,156900.0,72.0,1.0,2015,3,16.630579898231908
25878,2015-11-25,2.0,Cancún,995000.0,432.0,3.0,2015,2,16.630579898231908
25886,2015-11-25,2.0,Cancún,203100.64,122.0,2.0,2015,2,16.630579898231908
25895,2015-11-25,1.0,Cancún,216525.2,300.0,3.0,2015,3,16.630579898231908
25897,2015-11-25,2.0,Playa del Carmen,350000.0,221.0,2.0,2015,1,16.630579898231908
25898,2015-11-25,2.0,Tulum,240000.0,116.0,2.0,2015,1,16.630579898231908
25899,2015-11-25,2.0,Cancún,378919.1,223.0,3.0,2015,3,16.630579898231908
25900,2015-11-25,2.0,Playa del Carmen,215000.0,65.0,1.0,2015,3,16.630579898231908
25901,2015-11-25,2.0,Playa del Carmen,245000.0,114.0,2.0,2015,1,16.630579898231908
25902,2015-11-25,2.0,Playa del Carmen,347150.0,117.0,2.0,2015,1,16.630579898231908
25903,2015-11-25,2.0,Playa del Carmen,260000.0,89.0,1.0,2015,3,16.630579898231908
25904,2015-11-25,2.0,Tulum,196000.0,112.0,2.0,2015,1,16.630579898231908
25905,2015-11-25,2.0,Playa del Carmen,238700.0,60.0,1.0,2015,1,16.630579898231908
25906,2015-11-25,2.0,Cancún,140741.38,174.0,2.0,2015,3,16.630579898231908
25908,2015-11-25,1.0,Cancún,135057.6,160.0,3.0,2015,3,16.630579898231908
25911,2015-11-25,1.0,Cancún,254417.11,300.0,3.0,2015,3,16.630579898231908
25913,2015-11-25,1.0,Cancún,138034.81,160.0,3.0,2015,3,16.630579898231908
25914,2015-11-25,1.0,Cancún,238177.72,400.0,4.0,2015,3,16.630579898231908
25915,2015-11-25,1.0,Cancún,494218.78,586.0,4.0,2015,3,16.630579898231908
25918,2015-11-25,2.0,Cancún,97436.34,123.0,2.0,2015,3,16.630579898231908
25920,2015-11-25,1.0,Cancún,227351.45,300.0,4.0,2015,3,16.630579898231908
25926,2015-11-25,1.0,Cancún,83903.51,184.0,3.0,2015,3,16.630579898231908
25927,2015-11-25,1.0,Cancún,92023.21,128.0,3.0,2015,3,16.630579898231908
25929,2015-11-25,1.0,Cancún,48718.17,160.0,2.0,2015,3,16.630579898231908
26289,2015-12-01,1.0,Campestre Palo Alto,416223.22,287.0,3.0,2015,3,17.069591175426137
26290,2015-12-01,1.0,Bosques de las Lomas,1658570.5,630.0,4.0,2015,3,17.069591175426137
26292,2015-12-01,2.0,Bosque de las Lomas,407712.0,135.0,1.0,2015,3,17.069591175426137
26293,2015-12-01,2.0,Bosque de las Lomas,611116.0,191.0,2.0,2015,3,17.069591175426137
26860,2015-12-03,1.0,Juriquilla,157532.58,170.0,3.0,2015,1,17.069591175426137
26861,2015-12-03,1.0,Villa Lomas Altas,15015.64,120.0,2.0,2015,1,17.069591175426137
26862,2015-12-03,1.0,Villa Lomas Altas,15015.64,120.0,2.0,2015,1,17.069591175426137
26863,2015-12-03,1.0,Villa Lomas Altas,15015.64,120.0,2.0,2015,1,17.069591175426137
26864,2015-12-03,1.0,Villa Lomas Altas,15753.25,120.0,2.0,2015,1,17.069591175426137
26865,2015-12-03,1.0,Villa Lomas Altas,15753.25,120.0,2.0,2015,1,17.069591175426137
26866,2015-12-03,1.0,Valle del Pedregal,14225.35,120.0,1.0,2015,1,17.069591175426137
27289,2015-12-06,1.0,Veracruz,18440.26,128.0,2.0,2015,1,17.069591175426137
27290,2015-12-07,1.0,Veracruz,55320.8,96.0,2.0,2015,1,17.069591175426137
27291,2015-12-07,1.0,Veracruz,94835.67,570.0,3.0,2015,1,17.069591175426137
27463,2015-12-10,1.0,El Refugio,118544.58,166.0,3.0,2015,1,17.069591175426137
27545,2015-12-12,1.0,Veracruz,57955.13,150.0,3.0,2015,1,17.069591175426137
27912,2015-12-13,1.0,Veracruz,27923.83,200.0,2.0,2015,1,17.069591175426137
27962,2015-12-15,1.0,Puebla,289775.66,1000.0,5.0,2015,3,17.069591175426137
27963,2015-12-15,1.0,Veracruz,79029.72,319.0,2.0,2015,1,17.069591175426137
28074,2015-12-16,1.0,Veracruz,92201.34,200.0,6.0,2015,1,17.069591175426137
28236,2015-12-18,1.0,Veracruz,395148.62,1600.0,3.0,2015,1,17.069591175426137
28237,2015-12-18,1.0,Veracruz,421491.88,800.0,4.0,2015,1,17.069591175426137
28240,2015-12-18,1.0,El Caracol,129081.88,192.0,3.0,2015,3,17.069591175426137
28242,2015-12-18,1.0,Atizapán de Zaragoza,176499.72,150.0,3.0,2015,3,17.069591175426137
28246,2015-12-18,1.0,Atizapán de Zaragoza,70863.32,100.0,2.0,2015,3,17.069591175426137
28248,2015-12-18,1.0,Ejidos de San Pedro Mártir,126447.56,170.0,3.0,2015,3,17.069591175426137
28259,2015-12-18,1.0,Santa Catarina,372964.66,391.0,3.0,2015,1,17.069591175426137
28322,2015-12-19,1.0,Cumbres del Lago,165962.42,278.0,3.0,2015,1,17.069591175426137
28401,2015-12-22,1.0,Veracruz,60589.45,90.0,2.0,2015,1,17.069591175426137
28402,2015-12-22,1.0,Veracruz,43729.78,118.0,6.0,2015,1,17.069591175426137
28550,2015-12-24,1.0,Querétaro,71126.75,109.0,3.0,2015,1,17.069591175426137
28625,2015-12-27,1.0,Veracruz,210745.94,1000.0,3.0,2015,1,17.069591175426137
28902,2016-01-05,2.0,Santa Fe,470793.44,197.0,6.0,2016,3,18.064841822574014
28903,2016-01-05,2.0,Santa Fe,455008.8,202.0,6.0,2016,3,18.064841822574014
28906,2016-01-05,2.0,Santa Fe,526812.4,190.0,6.0,2016,3,18.064841822574014
29405,2016-01-09,1.0,Veracruz,75341.67,137.0,2.0,2016,1,18.064841822574014
29592,2016-01-11,1.0,Querétaro,160166.9,213.0,3.0,2016,1,18.064841822574014
29642,2016-01-12,1.0,Chihuahua,297722.16,500.0,3.0,2016,1,18.064841822574014
29643,2016-01-12,1.0,Delicias,76866.44,396.0,5.0,2016,1,18.064841822574014
29644,2016-01-12,1.0,Naucalpan de Juárez,165435.55,152.0,3.0,2016,3,18.064841822574014
29645,2016-01-12,1.0,Naucalpan de Juárez,82190.91,190.0,3.0,2016,3,18.064841822574014
29646,2016-01-12,2.0,San Mateo Nopala,97469.99,97.0,3.0,2016,3,18.064841822574014
29648,2016-01-12,1.0,Naucalpan de Juárez,122285.32,200.0,4.0,2016,3,18.064841822574014
29649,2016-01-12,1.0,Veracruz,134350.53,521.0,6.0,2016,1,18.064841822574014
29650,2016-01-12,1.0,Veracruz,158059.45,171.0,3.0,2016,1,18.064841822574014
